timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.7,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.8,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:16.9,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.0,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,0,0,0,0,SKIP
00:17.1,-32.3,0,0,0,SKIP
00:17.1,-40.1,0,0,0,SKIP
00:17.2,-56.9,0,0,0,SKIP
00:17.2,-87.9,0,0,0,SKIP
00:17.2,-93.35,0,0,0,SKIP
00:17.2,-112.5,0,0,0,SKIP
00:17.2,-138.9,0,0,0,SKIP
00:17.2,-146.45,0,0,0,SKIP
00:17.2,-152.2,0,0,0,SKIP
00:17.2,-172.35,0,0,0,SKIP
00:17.2,-197.55,0,0,0,SKIP
00:17.2,-207.5,0,0,0,SKIP
00:17.2,-220,0,0,0,SKIP
00:17.3,-236.75,0,0,0,SKIP
00:17.3,-257.45,0,0,0,SKIP
00:17.3,-291.3,0,0,0,SKIP
00:17.3,-292.85,0,0,0,SKIP
00:17.3,-295,0,0,0,SKIP
00:17.3,-272,0,0,0,SKIP
00:17.3,-208.95,0,0,0,SKIP
00:17.3,-122.95,0,0,0,SKIP
00:17.3,-22.75,0,0,0,SKIP
00:17.4,86.4,0,0,0,SKIP
00:17.4,202.95,0,0,0,SKIP
00:17.4,283.7,0,0,0,SKIP
00:17.4,302.85,0,0,0,SKIP
00:17.4,294.25,0,0,0,SKIP
00:17.4,284.8,0,0,0,SKIP
00:17.4,274.55,0,0,0,SKIP
00:17.4,262.7,0,0,0,SKIP
00:17.4,248.9,0,0,0,SKIP
00:17.4,233.85,0,0,0,SKIP
00:17.4,217.35,0,0,0,SKIP
00:17.5,199.1,0,0,0,SKIP
00:17.5,178.8,0,0,0,SKIP
00:17.5,155.65,0,0,0,SKIP
00:17.5,131.2,0,0,0,SKIP
00:17.5,105.35,0,0,0,SKIP
00:17.5,79.35,0,0,0,SKIP
00:17.5,55.3,0,0,0,SKIP
00:17.5,34.6,0,0,0,SKIP
00:17.5,18.2,0,0,0,SKIP
00:17.6,6.85,0,0,0,SKIP
00:17.6,1.3,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.6,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.7,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.8,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:17.9,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.0,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.1,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.2,0,0,0,0,SKIP
00:18.3,0,0,0,0,SKIP
00:18.3,0,0,0,0,SKIP
00:18.3,0,0,319.2,0,SKIP
00:18.3,0,0,834.4,0,SKIP
00:18.3,0,0,1381.45,0,SKIP
00:18.3,0,0,1875.5,0,SKIP
00:18.3,0,0,2285.4,0,SKIP
00:18.3,0,0,2590.25,0,SKIP
00:18.3,0,0,2839.75,0,SKIP
00:18.3,0,0,3062.2,0,SKIP
00:18.4,0,0,2981.45,0,SKIP
00:18.4,0,0,2776.7,0,SKIP
00:18.4,0,0,2571.95,0,SKIP
00:18.4,0,0,2367.2,0,SKIP
00:18.4,0,0,2162.45,0,SKIP
00:18.4,0,0,1957.7,0,SKIP
00:18.4,0,0,1752.95,0,SKIP
00:18.4,0,0,1548.2,0,SKIP
00:18.4,0,0,1343.45,0,SKIP
00:18.5,0,0,1138.7,0,SKIP
00:18.5,0,0,933.95,0,SKIP
00:18.5,0,0,729.2,0,SKIP
00:18.5,0,0,541.25,0,SKIP
00:18.5,0,0,381.3,0,SKIP
00:18.5,0,0,252.5,0,SKIP
00:18.5,0,0,153.7,0,SKIP
00:18.5,0,0,82.05,0,SKIP
00:18.5,0,0,33.45,0,SKIP
00:18.5,0,0,6.2,0,SKIP
00:18.6,-554.8,0,0,0,SKIP
00:18.6,-1155.45,0,0,0,SKIP
00:18.6,-1684.95,0,0,0,SKIP
00:18.6,-2152.9,0,0,0,SKIP
00:18.6,-2526.7,0,-409.45,0,SKIP
00:18.6,-2779.35,0,-1023.45,0,SKIP
00:18.6,-2932.95,0,-1554.6,0,SKIP
00:18.6,-2994.45,0,-2039.7,0,SKIP
00:18.6,-2874.7,0,-2448.2,0,SKIP
00:18.6,-2669.95,0,-2745.5,0,SKIP
00:18.6,-2465.2,0,-2909.4,0,SKIP
00:18.7,-2260.45,0,-2995.1,0,SKIP
00:18.7,-2055.7,0,-2919.35,0,SKIP
00:18.7,-1850.95,0,-2714.6,0,SKIP
00:18.7,-1646.2,0,-2509.85,0,SKIP
00:18.7,-1441.45,0,-2305.1,0,SKIP
00:18.7,-1236.7,0,-2100.35,0,SKIP
00:18.7,-1031.95,9.02,-1895.6,0,SKIP
00:18.7,-827.2,9.02,-1690.85,0,SKIP
00:18.7,-622.45,9.02,-1486.1,0,SKIP
00:18.8,-446.9,9.02,-1281.35,0,SKIP
00:18.8,-304.5,9.02,-1076.6,27.91,OK
00:18.8,-193.25,9.02,-871.85,27.91,OK
00:18.8,-111.55,9.02,-667.1,27.91,OK
00:18.8,-56,9.02,-483.9,27.91,OK
00:18.8,-21.6,9.02,-334.15,27.91,OK
00:18.8,-4.25,9.02,-215.25,27.91,OK
00:18.8,0,9.02,-126.4,27.91,OK
00:18.8,0,9.02,-65.15,27.91,OK
00:18.8,0,9.02,-27.1,27.91,OK
00:18.8,0,9.02,-6.45,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:18.9,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.0,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.1,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.2,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.3,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.4,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.5,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.6,0,9.02,0,27.91,OK
00:19.7,0,9.02,0,27.91,OK
00:19.7,0,9.02,29.45,27.91,OK
00:19.7,0,9.02,70.65,27.91,OK
00:19.7,0,9.02,116.25,27.91,OK
00:19.7,0,9.02,162.1,27.91,OK
00:19.7,0,9.02,204.25,27.91,OK
00:19.7,0,9.02,253.2,27.91,OK
00:19.7,0,9.02,285.65,27.91,OK
00:19.7,0,9.02,312.75,40.15,OK
00:19.7,0,9.02,343.2,40.15,OK
00:19.8,0,9.02,367.2,40.15,OK
00:19.8,0,9.02,383.05,40.15,OK
00:19.8,0,9.02,375.85,40.15,OK
00:19.8,0,9.02,374.25,40.15,OK
00:19.8,0,9.02,350.35,40.15,OK
00:19.8,0,9.02,339.45,40.15,OK
00:19.8,50.35,9.02,319.95,40.15,OK
00:19.8,90.45,9.02,309.35,40.15,OK
00:19.8,144.45,9.02,292.9,40.15,OK
00:19.8,202,9.02,292.7,40.15,OK
00:19.9,273.2,9.02,275.55,40.15,OK
