timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm
45:00.1,-7.7,78.5,9.9,0
45:00.1,-12.25,78.5,1.8,0
45:00.1,-4.25,78.5,-4.4,0
45:00.1,-0.9,78.5,-0.95,0
45:00.1,3.45,78.5,-8.35,0
45:00.1,28.1,78.5,0.1,0
45:00.1,44.75,78.5,-0.9,0
45:00.1,85.1,78.5,6.25,0
45:00.2,113.6,78.5,17.2,0
45:00.2,146.75,78.5,27.05,0
45:00.2,162.9,78.5,30.1,0
45:00.2,178.85,78.5,12.95,0
45:00.2,186.9,78.5,22.4,0
45:00.2,185.45,81.98,6.2,0
45:00.2,168.4,81.98,0.2,0
45:00.2,151.2,81.98,-16.3,0
45:00.2,131.6,81.98,-26.25,0
45:00.2,106.55,81.98,-22,0
45:00.3,98.4,81.98,-38.35,0
45:00.3,72.4,81.98,-26,0
45:00.3,46.45,81.98,-39.7,0
45:00.3,34.3,81.98,-46.3,0
45:00.3,25.45,81.98,-42.3,0
45:00.3,11.95,81.98,-33.45,0
45:00.3,-8.75,81.98,-36.7,0
45:00.3,-15.2,81.98,-45.9,0
45:00.3,-33.1,81.98,-42.15,0
45:00.3,-41.5,81.98,-44.7,0
45:00.4,-38.4,81.98,-34.95,0
45:00.4,-45.8,81.98,-33.5,0
45:00.4,-45.8,81.98,-27.85,0
45:00.4,-50.05,81.98,-28.75,0
45:00.4,-51.95,81.98,-23.15,0
45:00.4,-52.95,81.98,-7,0
45:00.4,-62.4,81.98,-32.65,0
45:00.4,-60.85,81.98,-12.05,0
45:00.4,-63.25,81.98,-6.2,0
45:00.4,-35.5,81.98,-6.1,0
45:00.5,-55.3,81.98,-2.05,0
45:00.5,-54.6,81.98,-0.45,0
45:00.5,-50.65,81.98,-5.35,0
45:00.5,-47.7,81.98,3.85,0
45:00.5,-50.3,81.98,3.2,0
45:00.5,-38.45,81.98,7.7,0
45:00.5,-49.4,81.98,2.25,0
45:00.5,-47.15,81.98,1.25,0
45:00.5,-47.25,81.98,7.95,0
45:00.5,-56.85,81.98,-8.8,0
45:00.6,-57.85,81.98,-9.2,0
45:00.6,-50.35,81.98,-14.45,0
45:00.6,-62.05,81.98,-18.4,0
45:00.6,-59.95,81.98,-15.7,0
45:00.6,-58.95,81.98,-23.5,0
45:00.6,-67.55,81.98,-8.35,0
45:00.6,-61.95,81.98,-19.15,0
45:00.6,-62.3,81.98,-21.85,0
45:00.6,-62.8,81.98,-24.15,0
45:00.6,-58.05,81.98,-19.7,0
45:00.7,-74.45,81.98,-18.1,0
45:00.7,-70,81.98,-19.35,0
45:00.7,-58.85,81.98,-12.2,0
45:00.7,-58.5,81.98,-15.35,0
45:00.7,-68.7,81.98,-11.65,0
45:00.7,-64.4,81.98,-9.75,0
45:00.7,-53.15,81.98,-9.1,0
45:00.7,-55.6,81.98,-7.5,0
45:00.7,-42.65,81.98,2.05,0
45:00.7,-50.75,81.98,-5.8,0
45:00.8,-47.1,81.98,-10.4,0
45:00.8,-49.9,81.98,-7.4,0
45:00.8,-54.1,81.98,-11.4,0
45:00.8,-42.8,81.98,0.15,0
45:00.8,-39.65,81.98,-13.05,0
45:00.8,-40.95,81.98,-4.9,0
45:00.8,-34.35,81.98,-0.5,0
45:00.8,-18.65,81.98,1.6,0
45:00.8,-3.85,81.98,-7.05,0
45:00.8,26.4,81.98,-1.8,0
45:00.9,59.75,81.98,4.15,0
45:00.9,94.1,81.98,8.7,0
45:00.9,126.8,81.98,1.9,0
45:00.9,155.4,81.98,9.45,0
45:00.9,169,81.98,2.45,0
45:00.9,181.3,81.98,-0.4,0
45:00.9,174.65,82.44,2.55,0
45:00.9,164.5,82.44,2.5,0
45:00.9,152.75,82.44,2.85,0
45:00.9,131.8,82.44,3.7,0
45:01.0,113.15,82.44,2.3,0
45:01.0,88.75,82.44,0.1,0
45:01.0,67.4,82.44,12,0
45:01.0,46.9,82.44,11.45,0
45:01.0,23.05,82.44,9.25,0
45:01.0,12,82.44,29.3,0
45:01.0,-11.2,82.44,33.25,0
45:01.0,-12.15,82.44,22.75,0
45:01.0,-37.55,82.44,30.3,0
45:01.0,-48.2,82.44,20.5,0
45:01.1,-60.6,82.44,20.9,0
45:01.1,-62.05,82.44,33.8,0
45:01.1,-59.65,82.44,38,0
