timestamp,sensor1_smoothed,sensor1_bpm,sensor2_smoothed,sensor2_bpm,status,
2025-08-12 14:22,87.26,35.29,10.34,35.29,-20,OK
2025-08-12 14:22,82.14,35.29,-28.46,35.29,-20,OK
2025-08-12 14:22,74.88,35.29,-68.82,35.29,-20,OK
2025-08-12 14:22,64.25,35.29,-107.99,35.29,-20,OK
2025-08-12 14:22,57.83,35.29,-145.94,35.29,-20,OK
2025-08-12 14:22,51.53,35.29,-178.95,35.29,-20,OK
2025-08-12 14:22,44.41,35.29,-209.44,35.29,-20,OK
2025-08-12 14:22,37.8,35.29,-232.02,35.29,-20,OK
2025-08-12 14:22,31.44,35.29,-253.85,35.29,-20,OK
2025-08-12 14:22,21.84,35.29,-269.97,35.29,-20,OK
2025-08-12 14:22,13.58,35.29,-283.91,35.29,-20,OK
2025-08-12 14:22,2.34,35.29,-294.42,35.29,-20,OK
2025-08-12 14:22,-5.96,35.29,-303.94,35.29,-20,OK
2025-08-12 14:22,-10.33,35.29,-308.75,35.29,-20,OK
2025-08-12 14:22,-11.14,35.29,-310.36,35.29,-20,OK
2025-08-12 14:22,-11.48,35.29,-308.78,35.29,-20,OK
2025-08-12 14:22,-6.15,35.29,-302.33,35.29,-20,OK
2025-08-12 14:22,2.13,35.29,-294.1,35.29,-20,OK
2025-08-12 14:22,13.44,35.29,-284.26,35.29,-20,OK
2025-08-12 14:22,27.07,35.29,-276.34,35.29,-20,OK
2025-08-12 14:22,40.66,35.29,-266.33,35.29,-20,OK
2025-08-12 14:22,56.96,35.29,-259.44,35.29,-20,OK
2025-08-12 14:22,69.81,35.29,-252.27,35.29,-20,OK
2025-08-12 14:22,81.83,35.29,-246.6,35.29,-20,OK
2025-08-12 14:22,87.32,35.29,-240.15,35.29,-20,OK
2025-08-12 14:22,91.88,35.29,-234.01,35.29,-20,OK
2025-08-12 14:22,94.31,35.29,-227.83,35.29,-20,OK
2025-08-12 14:22,96.57,35.29,-222.92,35.29,-20,OK
2025-08-12 14:22,95.37,35.29,-218.99,35.29,-20,OK
2025-08-12 14:22,95.01,35.29,-214.95,35.29,-20,OK
2025-08-12 14:22,93.15,35.29,-212.79,35.29,-20,OK
2025-08-12 14:22,85.26,35.29,-215.28,35.29,-20,OK
2025-08-12 14:22,75.52,35.29,-215.85,35.29,-20,OK
2025-08-12 14:22,63.61,35.29,-214.71,35.29,-20,OK
2025-08-12 14:22,50.56,35.29,-215.14,35.29,-20,OK
2025-08-12 14:22,37.78,35.29,-214.72,35.29,-20,OK
2025-08-12 14:22,28.41,35.29,-210.46,35.29,-20,OK
2025-08-12 14:22,21.51,35.29,-207.24,35.29,-20,OK
2025-08-12 14:22,16.39,35.29,-203.41,35.29,-20,OK
2025-08-12 14:22,14.09,35.29,-196.44,35.29,-20,OK
2025-08-12 14:22,11.49,35.29,-190.36,35.29,-20,OK
2025-08-12 14:22,8.81,35.29,-181.66,35.29,-20,OK
2025-08-12 14:22,8.62,35.29,-169.88,35.29,-20,OK
2025-08-12 14:22,9.5,35.29,-157.34,35.29,-20,OK
2025-08-12 14:22,11.5,35.29,-148.03,35.29,-20,OK
2025-08-12 14:22,12.84,35.29,-130.97,35.29,-20,OK
2025-08-12 14:22,20.7,35.29,-113.4,35.29,-20,OK
2025-08-12 14:22,25.45,35.29,-94.3,35.29,-20,OK
2025-08-12 14:22,36.4,35.29,-68.32,35.29,-20,OK
2025-08-12 14:22,54.24,35.29,-32.82,35.29,-20,OK
2025-08-12 14:22,83.1,35.29,7.74,35.29,-20,OK
2025-08-12 14:22,114.29,35.29,53.89,54.04,-20,OK
2025-08-12 14:22,152.08,35.29,103.02,54.04,-20,OK
2025-08-12 14:22,189.07,35.29,151.11,54.04,-20,OK
2025-08-12 14:22,222.63,35.29,196.26,54.04,-20,OK
2025-08-12 14:22,247.1,53.48,231.27,54.04,-40,OK
2025-08-12 14:22,262.4,53.48,260.3,54.04,-40,OK
2025-08-12 14:22,271.09,53.48,279.28,54.04,-40,OK
2025-08-12 14:22,272.54,53.48,287.48,54.04,-40,OK
2025-08-12 14:22,263.94,53.48,285.51,54.04,-40,OK
2025-08-12 14:22,251.61,53.48,274.72,54.04,-40,OK
2025-08-12 14:22,233.96,53.48,254.13,54.04,-40,OK
2025-08-12 14:22,213.05,53.48,228.38,54.04,-40,OK
2025-08-12 14:22,186.03,53.48,197.61,54.04,-40,OK
2025-08-12 14:22,159.92,53.48,164.04,54.04,-40,OK
